0,0.479,0.00598145,-0.00256348,-0.187988,0.982178,0.0193481,0.700684,0.0166016,0.713013,0.289063,0.492188,9.72266,-10.2188,0.226563,0.269531
1,0.642,0.00970459,-0.0131226,-0.16571,0.986023,0.0159302,0.699951,0.0168457,0.713806,0.363281,0.414063,9.79688,-9.76563,0.0351563,0.113281
2,0.690001,0.0195313,-0.0106812,-0.158081,0.987183,0.0147095,0.700195,0.0151978,0.713684,0.328125,0.644531,9.64063,-9.91797,0.109375,0.535156
3,0.748001,0.0220947,-0.00738525,-0.156921,0.987366,0.0152588,0.699036,0.0128174,0.714844,0.210938,0.605469,9.80078,-9.49219,0.226563,0.5
4,0.804001,0.0220947,-0.00750732,-0.152893,0.987976,0.0144043,0.699585,0.0125122,0.714294,0.0585938,0.53125,9.76172,-9.76953,-0.00390625,0.308594
5,0.900002,0.0198975,-0.003479,-0.152405,0.988098,0.00915527,0.699402,0.0116577,0.7146,0.0976563,0.53125,9.75781,-9.6875,-0.0429688,0.308594
6,0.952002,0.0198364,-0.00335693,-0.151733,0.98822,0.00823975,0.699036,0.0111694,0.714905,0.0976563,0.53125,9.75781,-9.69141,-0.195313,0.230469
7,0.999001,0.0205688,-0.00183105,-0.153992,0.987854,0.00933838,0.69873,0.0116577,0.71521,0.0976563,0.53125,9.80078,-9.61328,-0.0429688,0.34375
8,1.055,0.0203857,-0.00115967,-0.153931,0.987854,0.00854492,0.699463,0.0131836,0.714478,0.0195313,0.53125,9.72266,-9.57422,-0.121094,0.230469
9,1.128,0.0210571,-0.000732422,-0.155945,0.987549,0.00976563,0.700134,0.012085,0.713806,0.136719,0.53125,9.83594,-10.1094,0.0351563,0.382813
10,1.185,0.0202026,-0.00445557,-0.156677,0.987427,0.0118408,0.69989,0.0118408,0.71405,0.0976563,0.53125,9.75781,-9.875,0.109375,0.421875
11,1.239,0.0203857,-0.00616455,-0.153809,0.987854,0.0112305,0.699524,0.0135498,0.714417,0.136719,0.53125,9.75781,-9.99609,0.148438,0.5
12,1.296,0.0211792,-0.00683594,-0.153625,0.987854,0.0108643,0.69873,0.0166626,0.715088,0.25,0.53125,9.83984,-9.73047,0.0351563,0.34375
13,1.361,0.0216675,-0.00708008,-0.153564,0.987854,0.0106201,0.698669,0.0167236,0.715149,0.171875,0.566406,9.76172,-9.87891,0.109375,0.5
14,1.406,0.022583,-0.00665283,-0.15448,0.987732,0.0102539,0.698853,0.0184937,0.714966,0.210938,0.566406,9.75781,-9.72656,0.0703125,0.191406
15,1.5,0.0231323,-0.00646973,-0.154785,0.987671,0.00970459,0.699646,0.0192871,0.714172,0.171875,0.566406,9.76172,-9.72656,-0.00390625,0.308594
16,1.6,0.0239258,-0.00457764,-0.155457,0.987549,0.010498,0.698792,0.0189819,0.714966,0.0585938,0.566406,9.75781,-9.53125,0.1875,0.308594
17,1.7,0.0237427,-0.00317383,-0.156067,0.987488,0.00274658,0.696167,0.0100098,0.717773,0.0976563,0.566406,9.79688,-9.83984,0.109375,0.382813
18,1.8,0.0234985,-0.00170898,-0.153992,0.987793,0.195129,0.662964,-0.204224,0.693359,-0.285156,0.53125,9.72266,-10.2578,0.339844,0.882813
19,1.93,0.024231,0.0276489,-0.139954,0.989502,0.197937,0.657349,-0.205383,0.69751,-0.554688,0.492188,9.875,-9.42188,0.0703125,0.613281
20,2.0,0.0219727,0.0410156,-0.135071,0.989746,0.198059,0.644165,-0.206299,0.709412,-0.859375,0.53125,9.91016,-9.83984,0.0703125,1.07422
21,2.1,0.0287476,0.0668335,-0.125061,0.989502,0.197876,0.638306,-0.205994,0.714844,-1.66406,0.414063,9.80078,-9.80469,0.378906,1.37891
